report_date,client_id,target,col1453,col1454,col2167,col2168,col2169,col2170,col2171,col2172,col2173,col2174,col2175,col2176,col2177,col2178,col2179,col2180,col2181,col2182,col2183,col2184,col2185,col2186,col2187,col2188,col2189,col2190,col2220,col2221,col2222,col2244,col2245,col2246,col2292,col2293,col2294,col2316,col2317,col2318,col2340,col2341,col2342,col2364,col2365,col2366,col2388,col2389,col2390,col2460,col2461,col2462,col2470,col2663
2022-11-01,1,0,0,00f3d719-a6ec-4960-ba01-8372eb705443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6656046.7,10000.0,2231015.56666667,0.0,0.0,0.0,15.0,15.0,15.0,179564.0,179564.0,179564.0,6801884.32,6801884.32,6801884.32,1.0,1.0,1.0,37.88,37.88,37.88,0.0,0.0,0.0,545.0,0.2562613816564786
2022-02-01,19,0,0,0b498e8a-7c01-466d-b112-0c5785574f45,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8093020.24,10000.0,2710006.74666667,0.0,0.0,0.0,22.0,22.0,22.0,138777.0,138777.0,138777.0,8351599.86,8351599.86,8351599.86,2.0,2.0,2.0,60.18,60.18,60.18,0.0,0.0,0.0,364.0,0.2562613816564786
2022-11-01,26,0,0,0fe93355-5c69-455c-b7f5-b29f4b4db275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6981392.62,10000.0,2339464.20666667,0.0,0.0,0.0,11.0,11.0,11.0,192539.0,192539.0,192539.0,6885194.64,6885194.64,6885194.64,1.0,1.0,1.0,35.76,35.76,35.76,2.06,2.06,2.06,412.0,0.2556113676384911
2022-11-01,38,0,0,1965970f-ef35-47ce-9c37-32ed3b0b7427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7630164.31,10000.0,3820082.155,0.0,0.0,0.0,11.0,11.0,11.0,220814.0,220814.0,220814.0,7640164.4,7640164.4,7640164.4,1.0,1.0,1.0,34.6,34.6,34.6,1.4,1.4,1.4,528.0,0.2565996261339365
2022-03-01,43,0,0,1b147f1c-66d8-4245-8d8e-8e3253ddf560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5448558.0,10000.0,2729279.0,0.0,0.0,0.0,13.0,13.0,13.0,207313.25,207313.25,207313.25,5458557.87,5458557.87,5458557.87,1.0,1.0,1.0,26.33,26.33,26.33,1.55,1.55,1.55,397.0,0.2574735476686629
2023-01-01,64,0,0,29eff6ae-d441-4f1d-a015-a1a39af31155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4403271.62,10000.0,2206635.81,0.0,0.0,0.0,9.0,9.0,9.0,190358.0,190358.0,190358.0,4140286.5,4140286.5,4140286.5,1.0,1.0,1.0,21.75,21.75,21.75,1.1,1.1,1.1,428.0,0.2567636136834121
2021-08-01,70,0,0,2c213cde-7a14-4ab3-8368-30cf4dd08c61,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5591968.02,10000.0,2800984.01,0.0,0.0,0.0,8.0,8.0,8.0,188277.0,188277.0,188277.0,5716089.72,5716089.72,5716089.72,1.0,1.0,1.0,30.36,30.36,30.36,1.87,1.87,1.87,248.0,0.2562613816564786
2022-07-01,70,0,0,2c213cde-7a14-4ab3-8368-30cf4dd08c61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5591968.02,10000.0,2800984.01,0.0,0.0,0.0,8.0,8.0,8.0,188277.0,188277.0,188277.0,5716089.72,5716089.72,5716089.72,1.0,1.0,1.0,30.36,30.36,30.36,1.87,1.87,1.87,577.0,0.2562613816564786
2022-02-01,84,0,0,33889481-05fd-4e46-93e2-3ca7b0502162,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6344190.68,10000.0,2127063.56,0.0,0.0,0.0,6.0,6.0,6.0,182767.0,182767.0,182767.0,6490056.17,6490056.17,6490056.17,1.0,1.0,1.0,35.51,35.51,35.51,2.07,2.07,2.07,219.0,0.2562613816564786
2022-05-01,84,0,0,33889481-05fd-4e46-93e2-3ca7b0502162,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6344190.68,10000.0,2127063.56,0.0,0.0,0.0,6.0,6.0,6.0,182767.0,182767.0,182767.0,6490056.17,6490056.17,6490056.17,1.0,1.0,1.0,35.51,35.51,35.51,2.07,2.07,2.07,310.0,0.2562613816564786
